S,Q,Std,X,R,V,W
33,45,5,40,46.25,"40,50,0,0","0.5,0.5,0,0"
33,50,20,70,47.8125,"30,70,0,0","0.5,0.5,0,0"
33,45,5,40,30.9375,"40,50,0,0","0.5,0.5,0,0"
33,55,5,50,35.3125,"50,60,0,0","0.5,0.5,0,0"
33,50,20,70,57.5,"30,70,0,0","0.5,0.5,0,0"
33,45,15,60,58.4375,"30,60,0,0","0.5,0.5,0,0"
33,50,0,50,44.0625,"50,0,0,0","1,0,0,0"
33,55,15,70,57.8125,"40,70,0,0","0.5,0.5,0,0"
33,60,0,60,50,"60,0,0,0","1,0,0,0"
33,55,5,60,48.125,"50,60,0,0","0.5,0.5,0,0"
33,55,15,40,29.6875,"40,70,0,0","0.5,0.5,0,0"
33,50,10,60,39.375,"60,40,0,0","0.5,0.5,0,0"
33,45,15,30,24.6875,"30,60,0,0","0.5,0.5,0,0"
33,50,10,40,36.875,"60,40,0,0","0.5,0.5,0,0"
33,30,0,30,44.375,"30,0,0,0","1,0,0,0"
33,40,0,40,34.6875,"40,0,0,0","1,0,0,0"
33,55,5,50,57.1875,"50,60,0,0","0.5,0.5,0,0"
33,55,15,40,30.625,"40,70,0,0","0.5,0.5,0,0"
33,45,5,50,45,"40,50,0,0","0.5,0.5,0,0"
33,45,5,40,32.8125,"40,50,0,0","0.5,0.5,0,0"
33,50,20,70,61.25,"30,70,0,0","0.5,0.5,0,0"
33,45,15,60,50.625,"30,60,0,0","0.5,0.5,0,0"
33,60,0,60,52.1875,"60,0,0,0","1,0,0,0"
33,30,0,30,17.8125,"30,0,0,0","1,0,0,0"
33,45,15,30,23.125,"30,60,0,0","0.5,0.5,0,0"
33,50,0,50,44.6875,"50,0,0,0","1,0,0,0"
33,55,15,70,56.875,"40,70,0,0","0.5,0.5,0,0"
33,50,10,60,56.25,"60,40,0,0","0.5,0.5,0,0"
33,50,10,40,32.5,"60,40,0,0","0.5,0.5,0,0"
33,50,20,30,15.625,"30,70,0,0","0.5,0.5,0,0"
33,50,10,60,46.875,"60,40,0,0","0.5,0.5,0,0"
33,60,0,60,56.875,"60,0,0,0","1,0,0,0"
33,50,0,50,47.5,"50,0,0,0","1,0,0,0"
33,45,15,60,58.75,"30,60,0,0","0.5,0.5,0,0"
33,55,15,40,31.875,"40,70,0,0","0.5,0.5,0,0"
33,30,0,30,19.375,"30,0,0,0","1,0,0,0"
33,40,0,40,35.3125,"40,0,0,0","1,0,0,0"
33,55,15,70,58.75,"40,70,0,0","0.5,0.5,0,0"
33,55,5,60,44.0625,"50,60,0,0","0.5,0.5,0,0"
33,45,5,50,36.875,"40,50,0,0","0.5,0.5,0,0"
33,50,20,70,67.5,"30,70,0,0","0.5,0.5,0,0"
33,55,5,50,39.6875,"50,60,0,0","0.5,0.5,0,0"
